show_uri	show_name	show_description	publisher	language	rss_link	episode_uri	episode_name	episode_description	duration	show_filename_prefix	episode_filename_prefix
spotify:show:2Vh5jVI1EdMDeHs3N8XoME	Sweathead with Mark Pollard - A Strategy Podcast	"How do you get good at strategy? With nearly 500,000 listens, Sweathead tries to answer this question. Each episode helps thinkers realize they're not alone and that thinking takes practice. And, when your brain practices, it sweats. Hence, Sweathead. Hit SUBSCRIBE, tell your friends, and leave a kind rating. Real-time action is @markpollard.  The book ""Strategy Is Your Words"" launches this April 2020: http://www.strategyisyourwords.com  "	Mark Pollard	['en']	https://anchor.fm/s/3427324/podcast/rss	spotify:episode:00E3g4mXpMX8oWc7m4EnCO	Has Art Direction Lost Direction? - Cathy Heng, Creative Director	"Art direction is a beautiful thing - to reach for an idea that says one thing clearly and clearer than the other visual ideas it competes with and to do so in a way that makes unique sense for a brand. But does art direction still exist? Or, does it exist like it could? With the rise of social media, rapid turnarounds, cheap stock image options, mood boards and social media calendars, multivariate testing, and a whole chunk of the industry just banging out work to stay alive, are we doing a good enough job with the ideas people see?  Meet Cathy Heng, an art director recognized by D&AD, Cannes, the British Arrows, and the IPA Effectiveness Awards. She even featured in Campaign’s ‘Top 100’ Hall of Fame for her work on BMW.  We discuss what art direction is, how it happens, good examples, and how to do it better. You can find Cathy here: https://www.cathyheng.com For more strategy talk: 1. Strategy newsletter: http://www.markpollard.net/email-newsletter/ 2. Strategy drawings: http://www.instagram.com/markpollard  3. Strategy Twitter: http://www.twitter.com/markpollard 4. Join 5,000+ strategists: http://www.sweathead.co New book ""Strategy Is Your Words"" out soon. "	33.504216666666665	show_2Vh5jVI1EdMDeHs3N8XoME	00E3g4mXpMX8oWc7m4EnCO
spotify:show:2Mkrfx6HroyJiFjCnSRkOF	Meridian Magazine--Come Follow Me Latter-day Saint Podcast	Each week Meridian Magazine’s founders, Scot and Maurine Proctor, will be giving a 30-minute podcast on the “Come, Follow Me” curriculum for the week. This is so you can listen with your scriptures in hand, or while you are about life’s many other duties. If you want some thoughts about teaching your family or in Church lessons, this can be a place to turn. If you live alone, let us study with you.	Scot Facer Proctor	['en-US']	https://anchor.fm/s/856450c/podcast/rss	spotify:episode:00ENEumWcPZcXVgmJdMYMw	Come Follow Me BofM Podcast 6, “We Lived after the Manner of Happiness” -- 2 Nephi 1-5	February 3-9 How can Lehi who has suffered so much in the wilderness journey, including the murderous rejection of his own sons, Laman and Lemuel, possibly write that man is that he might have joy? Does he know something that we sometimes forget? We’ll find out as we study together. 	34.42851666666667	show_2Mkrfx6HroyJiFjCnSRkOF	00ENEumWcPZcXVgmJdMYMw
spotify:show:2Vh5jVI1EdMDeHs3N8XoME	Sweathead with Mark Pollard - A Strategy Podcast	"How do you get good at strategy? With nearly 500,000 listens, Sweathead tries to answer this question. Each episode helps thinkers realize they're not alone and that thinking takes practice. And, when your brain practices, it sweats. Hence, Sweathead. Hit SUBSCRIBE, tell your friends, and leave a kind rating. Real-time action is @markpollard.  The book ""Strategy Is Your Words"" launches this April 2020: http://www.strategyisyourwords.com  "	Mark Pollard	['en']	https://anchor.fm/s/3427324/podcast/rss	spotify:episode:01H2afyG2xZCuBGXA2janE	Saying What You Want To Say But Can't - Mickey Taylor, Adweak	"Mickey Taylor runs Adweak, a satirical Internet presence that mocks advertising and all the silly things we do. He's a long-time creative director on the West Coast of the USA and has navigated his career from more traditional channels into running a Twitter account that thousands pay attention to every single day.  We discuss: - What Adweak is all about and what Mickey has learned from doing it - How social media isn't just for kids - Working on the West Coast - Having a heyday (maybe you're having one right now) You can find Adweak here https://twitter.com/adweak and Adweak Studio here https://adweakstudio.com    For more strategy talk: 1. Strategy newsletter: www.markpollard.net/email-newsletter/ 2. Strategy drawings: www.instagram.com/markpollard  3. Strategy Twitter: www.twitter.com/markpollard 4. Join 5,000+ strategists: www.sweathead.co New book ""Strategy Is Your Words"" out soon.   "	43.91813333333333	show_2Vh5jVI1EdMDeHs3N8XoME	01H2afyG2xZCuBGXA2janE
spotify:show:2rPPvOAqUPSB6TqezjVjm5	The Music Industry Blueprint Podcast	Rick Barker is the President and CEO of the Music Industry Blueprint in Nashville, TN. He is a manager, entrepreneur, author, and consultant focusing on the recent changes in the music business. By sharing his experience and insider tips, he helps his clients understand the music business and fast-tracks their steps to success. While those things describe his business life, the titles that he loves most are the ones which describe his personal life: Sober, Christian, Husband, and Father. Rick grew up in Alabama and was raised by a single mom. Growing up with very little in way of money and res	Rick Barker	['en']	https://anchor.fm/s/7e64f54/podcast/rss	spotify:episode:024pIwIySCQifofJgXKI0E	Episode 124: Lesson Learned This Week From Gary Vee	What I learned this week from Gary Vaynerchuck!  ---   Send in a voice message: https://anchor.fm/music-industry-blueprint/message	11.645816666666667	show_2rPPvOAqUPSB6TqezjVjm5	024pIwIySCQifofJgXKI0E
spotify:show:4lbnMhRAmkGBxpGOb6yFAx	The Equalizer Podcast	We are The Equalizer, the leading women's soccer news and analysis outlet in the United States since 2009. This is our podcast, where top journalists and personalities from throughout the women's game gather for critical, thoughtful and fun discussion.	The Equalizer	['en-US']	https://anchor.fm/s/6d417b8/podcast/rss	spotify:episode:028YfN73U0UwwkTtZuDa3h	Live from the SheBelieves Cup: USAvJPN First Reactions	The U.S. Women's National Team started their 2019 SheBelieves campaign this evening, with a 2-2 draw against Japan behind goals from Megan Rapinoe and Alex Morgan.   The Equalizer team showed out in full force in Chester, PA, and Jeff Kassouf and Dan Lauletta were there in the aftermath of the match to break down their first reactions of an inconsistent USWNT performance.  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app 	22.19015	show_4lbnMhRAmkGBxpGOb6yFAx	028YfN73U0UwwkTtZuDa3h
spotify:show:4lbnMhRAmkGBxpGOb6yFAx	The Equalizer Podcast	We are The Equalizer, the leading women's soccer news and analysis outlet in the United States since 2009. This is our podcast, where top journalists and personalities from throughout the women's game gather for critical, thoughtful and fun discussion.	The Equalizer	['en-US']	https://anchor.fm/s/6d417b8/podcast/rss	spotify:episode:03XrX4gQ5AorUppChKGqz9	The Equalizer Podcast, Episode 51: Signals of Progress	It's been a bit of a quiet week in the days after the conclusion of the SheBelieves Cup, as players report to the early stages of 2019 NWSL preseason. Not a ton of soccer being played, but that didn't stop the Equalizer Podcast Team from taking a look at some other things going on in the WoSo landscape.  This week Chelsey Bush, Claire Watkins, and John Halloran talk about VAR being announced for the 2019 World Cup, U.S. Soccer Federation's response to the women's national team lawsuit, and what can reasonably be expected from NWSL preseason in a World Cup year. They also tackle your questions, which included topics like USWNT development, Nike expectations, and allocation stress.   The Equalizer Podcast theme music is 'First Conversations' by Scout Ripley  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app 	42.97161666666667	show_4lbnMhRAmkGBxpGOb6yFAx	03XrX4gQ5AorUppChKGqz9
spotify:show:6ec9hDE62HkW7ckm2KC17L	Major Jobs with Teland	"Hi, my name is Teland, and I'm a high schooler who is interested about different jobs. On this podcast, I'll be interviewing different people who have different careers and sharing them with you to educate people about the interesting things we do to make a living. We will go over normal ""run of the mill"" jobs but also unique careers, how people got into the job, what they do on a daily basis, and more.   Check out the website at majorjobs.org, or email me at teland@majorjobs.org  Featured on Spotify, New York Times Upfront, Scholastic, and NPR"	Major Jobs	['en']	https://anchor.fm/s/7db4b04/podcast/rss	spotify:episode:03ZBsqa3VH6gjrJ07KO21D	Starting your own Non-Profit (ft. Josh Mendoza) - Episode 46	Today, I talk to Josh Mendoza, who started a Non-profit from the ground up.  Check out destinedforx.com!  ---   This episode is sponsored by  · Anchor: The easiest way to make a podcast.  https://anchor.fm/app 	24.99821666666667	show_6ec9hDE62HkW7ckm2KC17L	03ZBsqa3VH6gjrJ07KO21D
spotify:show:2rPPvOAqUPSB6TqezjVjm5	The Music Industry Blueprint Podcast	Rick Barker is the President and CEO of the Music Industry Blueprint in Nashville, TN. He is a manager, entrepreneur, author, and consultant focusing on the recent changes in the music business. By sharing his experience and insider tips, he helps his clients understand the music business and fast-tracks their steps to success. While those things describe his business life, the titles that he loves most are the ones which describe his personal life: Sober, Christian, Husband, and Father. Rick grew up in Alabama and was raised by a single mom. Growing up with very little in way of money and res	Rick Barker	['en']	https://anchor.fm/s/7e64f54/podcast/rss	spotify:episode:03y9rxlJ0pjvV1AP1WGqku	Episode 162: Meet Rock To Recovery...Using Music To Change Lives..	Music has healing power. Today Rick introduces us to Phil Bogard who works with Rock To Recovery. This organization is doing some amazing things...  ---   Send in a voice message: https://anchor.fm/music-industry-blueprint/message	24.38748333333333	show_2rPPvOAqUPSB6TqezjVjm5	03y9rxlJ0pjvV1AP1WGqku
spotify:show:2Vh5jVI1EdMDeHs3N8XoME	Sweathead with Mark Pollard - A Strategy Podcast	"How do you get good at strategy? With nearly 500,000 listens, Sweathead tries to answer this question. Each episode helps thinkers realize they're not alone and that thinking takes practice. And, when your brain practices, it sweats. Hence, Sweathead. Hit SUBSCRIBE, tell your friends, and leave a kind rating. Real-time action is @markpollard.  The book ""Strategy Is Your Words"" launches this April 2020: http://www.strategyisyourwords.com  "	Mark Pollard	['en']	https://anchor.fm/s/3427324/podcast/rss	spotify:episode:04fubqWmbRf6DeZ1yldzIr	Not Dancing Around Diversity And Inclusion - Lauren Cole, The One Club For Creativity	"Lauren Cole is Senior Manager of Inclusion & Diversity at The One Club For Creativity. In this role, Lauren helps organizations improve how they understand and apply important ideas about creating workforces that represent the communities they're in, while helping individuals understand more about the industry they are in or might enter. We discuss: - The very concepts of diversity and inclusion - The most pressing diversity and inclusion issues right now - Euphemisms and perpetual surprises about diversity and inclusion You can find Lauren here: https://twitter.com/MsCole84  For more strategy talk: 1. Strategy newsletter: http://www.markpollard.net/email-newsletter/ 2. Strategy drawings: http://www.instagram.com/markpollard  3. Strategy Twitter: http://www.twitter.com/markpollard 4. Join 5,000+ strategists: http://www.sweathead.co New book ""Strategy Is Your Words"" out soon. "	41.64018333333333	show_2Vh5jVI1EdMDeHs3N8XoME	04fubqWmbRf6DeZ1yldzIr
spotify:show:6ec9hDE62HkW7ckm2KC17L	Major Jobs with Teland	"Hi, my name is Teland, and I'm a high schooler who is interested about different jobs. On this podcast, I'll be interviewing different people who have different careers and sharing them with you to educate people about the interesting things we do to make a living. We will go over normal ""run of the mill"" jobs but also unique careers, how people got into the job, what they do on a daily basis, and more.   Check out the website at majorjobs.org, or email me at teland@majorjobs.org  Featured on Spotify, New York Times Upfront, Scholastic, and NPR"	Major Jobs	['en']	https://anchor.fm/s/7db4b04/podcast/rss	spotify:episode:04kbOy5quOomxYjLVmrFEt	Financial Analyst at the NFL - Episode 53	Today, I talk to Jay Kapoor, who worked as a Financial Analyst at the NFL. If you're interested in working in finance or the NFL, this is the episode for you!   	28.4192	show_6ec9hDE62HkW7ckm2KC17L	04kbOy5quOomxYjLVmrFEt
