episode_id,word_count,start_time,end_time
1XqZeztVeKtVq2rcC8c9nZ,5227,0.5,2480.6
5mavOCBdHeTwavnyKQbprI,6043,10.8,2385.5
5QvBmsgffCko4dgSzVohbb,6326,5.8,2105.6
6L1mkusmg8rNuORkHWfIT7,12714,5.4,3660.5
3NUR4sJBFJAua6jIzGfHvL,13957,5.6,4167.9
0E4ELdgEWYwY971VsFqStB,10676,6.6,3603.1
2od93kPtFhFyb0tLfM5WXo,15681,6.1,4485.2
12lx1nitNWXjaNh4cbxm8u,10479,5.4,2931.7
0Chbj14ArmAA0DKNbzaAJ0,12620,5.2,3524.7
0P75qXinlTPNjgHUzxUW12,11702,4.6,3374.5
2w6TnsYVLR8VKvWWvwf1qs,11409,0.0,3463.5
2btVdXXMgGCT2MNYyIFMBe,11669,0.4,3941.0
2yTEQdz5EiMJpwZuVvRzAb,2231,1.6,907.3
7vfyT9Cz2Y2CsWQSqvvqLr,10692,1.8,3659.0
7k8jvuALFRj4zqttQpYPaF,281,4.0,149.1
2PPCCCSXt21uLmELhWphWD,337,4.3,173.9
2noJiuFEAe0442xKNlpr5r,357,3.9,179.1
5y51G57iXPF8B0SbSRdXjP,317,3.4,167.8
3yIUxl5R1hIjk4WKlZX0GI,364,3.3,190.0
0SF8aqAcraHKLIoTwQ2Cvz,341,4.2,181.9
1XrLPD6WFLL9K5uN5mpWKr,373,4.0,189.5
6nl3EgvLMP7r55yr670vbf,355,3.5,187.3
7F95Iee8aZIWvtIl3FzkNY,329,3.4,179.7
6tjERsiBvgaRp9Vg766mpP,344,2.1,175.9
0LWYHBxhQ2pUvE1HbaOvnc,1082,0.5,372.4
0ND7b1EsIdsr502VMH5QYM,6699,0.5,2344.1
1ggPnrVQVoTJwfDmZwQbJe,6063,0.5,2193.5
0kX4h5gqH1DnzGExMw5Gyx,4343,0.5,1453.0
74ArgLQky3lqYXmXB2hn1o,3209,0.0,1237.8
1VNGYPvPqkB2mHR0xe46SZ,689,0.5,286.1
2TSLJx1NgpakRDkHIZXeGz,5556,0.5,2142.6
7hpfju9bkJM5ltq8LnMjzg,5527,0.5,1962.0
0kqz5vbHRORz3lkeLcC099,2278,0.3,843.1
1FZwG28KRpec0Fab2jS6Qx,1169,0.5,449.7
4eFAkIfYTL2H6VDMmyVQS8,7164,0.6,2564.4
4fs1zHint4zUn86s11JPos,2583,0.5,971.1
1WzXfyxSBeA8O9NvUqYTNN,982,0.5,409.7
2N8a0YZnN3ZPNWmMrwuPdo,4906,0.5,2123.4
3v76FHs3rE8lAohNPnroXq,5470,0.6,2266.5
2L6mLyVfw1gSb2b9MfXcBJ,7337,0.5,2721.1
0bIHqMCzuukJuixJJpG0Av,7509,0.5,2734.7
2ROM1bFinO5u3YxKSvTGR1,3602,0.5,1218.4
64ePluG5JCAMPgUIdHT4qq,2942,0.5,1015.9
606sPhWxDUyBPml6WoyprL,6696,0.5,2440.0
